order_id,salescheck,shipped_date,delivery_type_code,carrier,ship_mode,tracking_number,create_time
852442005,093002408973,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350164    ","2017-07-08 20:22:43"
852442005,093002408973,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350164    ","2017-07-08 20:22:43"
852442005,093002408973,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350164    ","2017-07-08 20:22:43"
852444350,093002411150,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350095    ","2017-07-08 21:11:38"
852454776,093002419334,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350148    ","2017-07-09 02:39:42"
852459478,093002422440,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350100    ","2017-07-09 08:45:38"
845491528,093002422552,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350139    ","2017-07-09 09:01:43"
845491528,093002422552,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350139    ","2017-07-09 09:01:43"
845491528,093002422552,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350139    ","2017-07-09 09:01:43"
845491528,093002422552,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350139    ","2017-07-09 09:01:43"
852444570,093002422865,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350120    ","2017-07-09 09:41:37"
852461906,093002423697,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350111    ","2017-07-09 10:03:37"
852464821,093002426471,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350157    ","2017-07-09 11:21:13"
852464821,093002426471,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350157    ","2017-07-09 11:21:13"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852466770,093002428327,"2017-07-09 00:00:00",A,UPS,GD,"1Z2762540300350173    ","2017-07-09 11:58:08"
852468805,093002429729,"2017-07-09 00:00:00",R,UPS,GDE,"1Z276254YW00350184    ","2017-07-09 12:35:13"
